model_slug	variant_code	interior_code	interior_name	price	is_default	image_thumb	image_full	sort_order
l03	rwd-sr	dark-gray	Dark Gray	0	TRUE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	1
l03	rwd-sr	light-gray	Light Gray	0	FALSE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	2
l03	rwd-lr	dark-gray	Dark Gray	0	FALSE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	1
l03	rwd-lr	light-gray	Light Gray	0	TRUE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	2
l03	rwd-lr-ultra	dark-gray	Dark Gray	0	FALSE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	1
l03	rwd-lr-ultra	light-gray	Light Gray	0	TRUE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	2
l03	awd-ultra	dark-gray	Dark Gray	0	FALSE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	1
l03	awd-ultra	light-gray	Light Gray	0	TRUE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	2
l03	powerx-lr	dark-gray	Dark Gray	0	FALSE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff18bd51713d4ad7ef7c_l03-interior-dark-gray.webp	1
l03	powerx-lr	light-gray	Light Gray	0	TRUE	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	https://cdn.prod.website-files.com/6a041f81e8910a5a1669594c/6a8fff189a2267ea33a179c4_l03-interior-light-grey.webp	2
